Home,Road,line,vscore,hscore,week,actual
Washington St.,Nevada,28.5,7,45,5,38
Western Kentucky,Ball St.,10,21,33,5,12
Wyoming,Hawaii,4.5,21,28,5,7
Alabama,Mississippi,28,3,66,6,63
Arkansas,New Mexico St.,17.5,24,42,6,18
Army,UTEP,22,21,35,6,14
Auburn,Mississippi St.,8,10,49,6,39
Boston College,Central Mich.,10,8,28,6,20
Bowling Green,Akron,-2.5,34,23,6,-11
Central Florida,Memphis,7,13,40,6,27
Cincinnati,Marshall,3.5,38,21,6,-17
Duke,Miami (Fla.),-6.5,31,6,6,-25
East Carolina,South Florida,-21,61,31,6,-30
Florida,Vanderbilt,9,24,38,6,14
Florida Atlantic,Middle Tenn.,2.5,20,38,6,18
Florida Intl.,Charlotte,9.5,29,30,6,1
Fresno St.,Nevada,9,21,41,6,20
Georgia Tech,North Carolina,10,7,33,6,26
Hawaii,Colorado St.,-7,51,21,6,-30
Illinois,Nebraska,-6,28,6,6,-22
Iowa St.,Texas,-4.5,17,7,6,-10
Kansas St.,Baylor,14.5,20,33,6,13
Kent,Buffalo,-7.5,27,13,6,-14
Kentucky,Eastern Mich.,14,20,24,6,4
LSU,Troy St.,20.5,24,21,6,-3
Louisiana Tech,South Alabama,11.5,16,34,6,18
Louisiana-Monroe,Coastal Carolina,7.5,43,51,6,8
Massachusetts,Ohio,-4.5,58,50,6,-8
Michigan St.,Iowa,4,10,17,6,7
Minnesota,Maryland,13.5,31,24,6,-7
NC St.,Syracuse,14,25,33,6,8
New Mexico,Air Force,-2.5,38,56,6,18
Notre Dame,Miami (Ohio),21,17,52,6,35
Oregon,California,17,24,45,6,21
Oregon St.,Washington,-27,42,7,6,-35
Penn St.,Indiana,17.5,14,45,6,31
Pittsburgh,Rice,20.5,10,42,6,32
Rutgers,Ohio St.,-28.5,56,0,6,-56
SMU,Connecticut,16.5,28,49,6,21
San Diego St.,Northern Ill.,10,28,34,6,6
Southern Miss.,North Texas,7.5,43,28,6,-15
Stanford,Arizona St.,17.5,24,34,6,10
Temple,Houston,-11,20,13,6,-7
Tennessee,Georgia,-9.5,41,0,6,-41
Texas A&M,South Carolina,7,17,24,6,7
Texas Tech,Oklahoma St.,-10.5,41,34,6,-7
Tulsa,Navy,-8.5,31,21,6,-10
UCLA,Colorado,7,23,27,6,4
UNLV,San Jose St.,17,13,41,6,28
Utah St.,BYU,0,24,40,6,16
Virginia Tech,Clemson,-7,31,17,6,-14
Wake Forest,Florida St.,-7.5,26,19,6,-7
Washington St.,USC,-5.5,27,30,6,3
Western Mich.,Ball St.,14,3,55,6,52
Wisconsin,Northwestern,16.5,24,33,6,9
Wyoming,Texas St.,16.5,10,45,6,35
Akron,Ball St.,6,3,31,7,28
Appalachian St.,New Mexico St.,13.5,31,45,7,14
Auburn,Mississippi,22.5,23,44,7,21
BYU,Boise St.,-7.5,24,7,7,-17
Boston College,Virginia Tech,-16.5,23,10,7,-13
Buffalo,Western Mich.,-6.5,71,68,7,-3
Charlotte,Marshall,-14,14,3,7,-11
Cincinnati,Central Florida,-16.5,51,23,7,-28
Clemson,Wake Forest,21.5,14,28,7,14
Coastal Carolina,Georgia St.,0,27,21,7,-6
Colorado,Arizona,7,45,42,7,-3
Connecticut,Memphis,-14.5,70,31,7,-39
East Carolina,Temple,-3,34,10,7,-24
Florida,LSU,1.5,17,16,7,-1
Florida St.,Miami (Fla.),-2.5,24,20,7,-4
Georgia Southern,Arkansas St.,-9.5,43,25,7,-18
Houston,SMU,7,22,35,7,13
Idaho,Louisiana-Lafayette,6,21,16,7,-5
Iowa,Illinois,15.5,16,45,7,29
Kansas,Texas Tech,-15.5,65,19,7,-46
Kentucky,Missouri,9,34,40,7,6
Miami (Ohio),Bowling Green,15.5,37,29,7,-8
Michigan,Michigan St.,10,14,10,7,-4
Middle Tenn.,Florida Intl.,9,17,37,7,20
NC St.,Louisville,-3,25,39,7,14
Navy,Air Force,7.5,45,48,7,3
Nebraska,Wisconsin,-10.5,38,17,7,-21
Nevada,Hawaii,-3.5,21,35,7,14
North Carolina,Notre Dame,-14,33,10,7,-23
Northern Ill.,Kent,23.5,3,24,7,21
Northwestern,Penn St.,-14,31,7,7,-24
Ohio,Central Mich.,10.5,26,23,7,-3
Ohio St.,Maryland,30,14,62,7,48
Oklahoma,Iowa St.,31,38,31,7,-7
Old Dominion,Florida Atlantic,-4.5,58,28,7,-30
Oregon,Washington St.,-2.5,33,10,7,-23
Purdue,Minnesota,3.5,17,31,7,14
Rice,Army,-11.5,49,12,7,-37
San Jose St.,Fresno St.,-17,27,10,7,-17
South Carolina,Arkansas,-3,22,48,7,26
Syracuse,Pittsburgh,3,24,27,7,3
TCU,West Va.,12.5,24,31,7,7
Texas,Kansas St.,6.5,34,40,7,6
Texas A&M,Alabama,-25.5,27,19,7,-8
Texas St.,Louisiana-Monroe,-6.5,45,27,7,-18
Texas-San Antonio,Southern Miss.,12,31,29,7,-2
Toledo,Eastern Mich.,14,15,20,7,5
Tulane,Tulsa,5,28,62,7,34
UAB,Louisiana Tech,-10,22,23,7,1
UNLV,San Diego St.,-8.5,41,10,7,-31
USC,Oregon St.,33,10,38,7,28
UTEP,Western Kentucky,-17,15,14,7,-1
Utah,Stanford,-4,23,20,7,-3
Utah St.,Colorado St.,-9,27,14,7,-13
Vanderbilt,Georgia,-17.5,45,14,7,-31
Virginia,Duke,1.5,21,28,7,7
Washington,California,28.5,7,38,7,31
Air Force,UNLV,8,30,34,8,4
Alabama,Arkansas,35,9,41,8,32
Arizona,UCLA,-3,30,47,8,17
Arizona St.,Washington,-18,7,13,8,6
Arkansas St.,Coastal Carolina,16.5,17,51,8,34
Army,Eastern Mich.,4,27,28,8,1
Bowling Green,Ohio,-10,48,30,8,-18
Buffalo,Northern Ill.,-7,14,13,8,-1
California,Washington St.,-16.5,3,37,8,34
Central Florida,East Carolina,36,21,63,8,42
Central Mich.,Toledo,-7.5,30,10,8,-20
Colorado St.,Nevada,24.5,42,44,8,2
Duke,Florida St.,-7,17,10,8,-7
Florida,Texas A&M,1.5,19,17,8,-2
Florida Intl.,Tulane,-13,10,23,8,13
Fresno St.,New Mexico,-1,0,38,8,38
Georgia,Missouri,29,28,53,8,25
Georgia Southern,New Mexico St.,-6,35,27,8,-8
Hawaii,San Jose St.,17,26,37,8,11
Idaho,Appalachian St.,-12,23,20,8,-3
Illinois,Rutgers,0,35,24,8,-11
Indiana,Michigan,-6.5,27,20,8,-7
Iowa St.,Kansas,22,0,45,8,45
Kansas St.,TCU,-7.5,26,6,8,-20
Kent,Miami (Ohio),-8,14,17,8,3
LSU,Auburn,-7.5,23,27,8,4
Louisiana-Lafayette,Texas St.,13.5,7,24,8,17
Louisiana-Monroe,Georgia St.,6,47,37,8,-10
Louisville,Boston College,19,45,42,8,-3
Marshall,Old Dominion,12.5,3,35,8,32
Maryland,Northwestern,-3,37,21,8,-16
Memphis,Navy,3.5,27,30,8,3
Miami (Fla.),Georgia Tech,6.5,24,25,8,1
Minnesota,Michigan St.,-4.5,30,27,8,-3
Mississippi,Vanderbilt,3,35,57,8,22
Mississippi St.,BYU,22.5,10,35,8,25
Nebraska,Ohio St.,-24.5,56,14,8,-42
North Carolina,Virginia,-3,20,14,8,-6
North Texas,Texas-San Antonio,-3,26,29,8,3
Oklahoma St.,Baylor,26.5,16,59,8,43
Oregon St.,Colorado,-10,36,33,8,-3
Pittsburgh,NC St.,-11.5,35,17,8,-18
San Diego St.,Boise St.,6,31,14,8,-17
South Florida,Cincinnati,24,3,33,8,30
Southern Miss.,UTEP,23,0,24,8,24
Stanford,Oregon,9.5,7,49,8,42
Syracuse,Clemson,-23.5,24,27,8,3
Temple,Connecticut,10,28,24,8,-4
Tennessee,South Carolina,1.5,15,9,8,-6
Texas,Oklahoma,-9,29,24,8,-5
Troy St.,South Alabama,15.5,19,8,8,-11
Tulsa,Houston,-13,17,45,8,28
UAB,Middle Tenn.,-4,23,25,8,2
USC,Utah,12.5,27,28,8,1
Utah St.,Wyoming,1.5,28,23,8,-5
West Va.,Texas Tech,5.5,35,46,8,11
Western Kentucky,Charlotte,17,14,45,8,31
Western Mich.,Akron,14,14,13,8,-1
Wisconsin,Purdue,16.5,9,17,8,8
Alabama,Tennessee,36.5,7,45,9,38
Appalachian St.,Coastal Carolina,23.5,29,37,9,8
Arkansas,Auburn,-15.5,52,20,9,-32
Arkansas St.,Louisiana-Lafayette,12.5,3,47,9,44
Army,Temple,6.5,28,31,9,3
Ball St.,Central Mich.,-3,56,9,9,-47
Baylor,West Va.,-9,38,36,9,-2
Boise St.,Wyoming,14,14,24,9,10
Bowling Green,Northern Ill.,-14,48,17,9,-31
California,Arizona,-3.5,45,44,9,-1
Charlotte,UAB,-7.5,24,25,9,1
Cincinnati,SMU,-7.5,31,28,9,-3
Connecticut,Tulsa,-4,14,20,9,6
Duke,Pittsburgh,8,24,17,9,-7
East Carolina,BYU,-6,17,33,9,16
Eastern Mich.,Western Mich.,-2.5,20,17,9,-3
Florida Atlantic,North Texas,3.5,31,69,9,38
Florida St.,Louisville,6.5,31,28,9,-3
Georgia St.,Troy St.,-9.5,34,10,9,-24
Georgia Tech,Wake Forest,4,24,38,9,14
Houston,Memphis,2.5,42,38,9,-4
Kansas St.,Oklahoma,-14,42,35,9,-7
Louisiana Tech,Southern Miss.,3,34,27,9,-7
Massachusetts,Georgia Southern,7.5,20,55,9,35
Miami (Fla.),Syracuse,17.5,19,27,9,8
Miami (Ohio),Buffalo,2.5,14,24,9,10
Michigan St.,Indiana,6.5,9,17,9,8
Middle Tenn.,Marshall,-2.5,38,10,9,-28
Minnesota,Illinois,13.5,17,24,9,7
Mississippi,LSU,-7,40,24,9,-16
Mississippi St.,Kentucky,12,7,45,9,38
Missouri,Idaho,14,21,68,9,47
Navy,Central Florida,-7.5,31,21,9,-10
Nevada,Air Force,-7,45,42,9,-3
New Mexico,Colorado St.,-7.5,27,24,9,-3
Northwestern,Iowa,2,10,17,9,7
Notre Dame,USC,3.5,14,49,9,35
Ohio,Kent,17.5,3,48,9,45
Old Dominion,Western Kentucky,-7.5,35,31,9,-4
Penn St.,Michigan,9.5,13,42,9,29
Rutgers,Purdue,-10,12,14,9,2
San Diego St.,Fresno St.,7.5,27,3,9,-24
South Alabama,Louisiana-Monroe,4.5,23,33,9,10
TCU,Kansas,39,0,43,9,43
Texas,Oklahoma St.,-7,13,10,9,-3
Texas Tech,Iowa St.,7,31,13,9,-18
Texas-San Antonio,Rice,19.5,7,20,9,13
Toledo,Akron,15,21,48,9,27
Tulane,South Florida,-11,34,28,9,-6
UCLA,Oregon,6,14,31,9,17
UNLV,Utah St.,3.5,52,28,9,-24
Utah,Arizona St.,10,30,10,9,-20
Virginia,Boston College,6.5,41,10,9,-31
Virginia Tech,North Carolina,20,7,59,9,52
Washington St.,Colorado,10,0,28,9,28
Wisconsin,Maryland,24,13,38,9,25
Akron,Buffalo,-1,20,21,10,1
Arizona,Washington St.,-3,37,58,10,21
Arizona St.,USC,-3.5,48,17,10,-31
BYU,San Jose St.,9.5,20,41,10,21
Ball St.,Toledo,-25.5,58,17,10,-41
Baylor,Texas,-9.5,38,7,10,-31
